days;spei
1976-07-16;-1.3246
1976-08-16;-0.89861
1976-09-16;-1.082
1976-10-16;-1.9741
1976-11-16;1.2727
1976-12-16;-0.83431
1977-01-16;0.17325
1977-02-15;-0.16289
1977-03-16;0.31697
1977-04-16;0.71653
1977-05-16;1.143
1977-06-16;0.052318
1977-07-16;-0.07077
1977-08-16;0.0059005
1977-09-16;-0.25197
1977-10-16;1.0632
1977-11-16;1.4748
1977-12-16;-0.85739
1978-01-16;0.17325
1978-02-15;1.6433
1978-03-16;-0.19918
1978-04-16;-0.28491
1978-05-16;1.1271
1978-06-16;-0.050272
1978-07-16;-0.48827
1978-08-16;0.33773
1978-09-16;0.41425
1978-10-16;-0.81277
1978-11-16;0.8946
1978-12-16;1.6127
1979-01-16;0.17325
1979-02-15;1.5524
1979-03-16;0.081721
1979-04-16;-1.0898
1979-05-16;-0.70331
1979-06-16;0.40536
1979-07-16;-1.4778
1979-08-16;0.54814
1979-09-16;0.82648
1979-10-16;-0.86922
1979-11-16;1.63
1979-12-16;-0.85739
1980-01-16;-1.1066
1980-02-15;-1.4936
1980-03-16;-1.019
1980-04-16;0.74371
1980-05-16;-0.77979
1980-06-16;0.085945
1980-07-16;0.20397
1980-08-16;-0.22534
1980-09-16;0.41865
1980-10-16;-1.2041
1980-11-16;0.62128
1980-12-16;-0.14371
1981-01-16;0.38406
1981-02-15;-0.44843
1981-03-16;1.3608
1981-04-16;0.079178
1981-05-16;0.80604
1981-06-16;-0.59831
1981-07-16;-0.95017
1981-08-16;0.90118
1981-09-16;1.296
1981-10-16;-0.60947
1981-11-16;0.11965
1981-12-16;0.26364
1982-01-16;0.17325
1982-02-15;-0.44843
1982-03-16;-0.81275
1982-04-16;-0.31871
1982-05-16;0.58356
1982-06-16;-0.1171
1982-07-16;0.0091739
1982-08-16;-0.8267
1982-09-16;-0.32575
1982-10-16;-0.55524
1982-11-16;0.74619
1982-12-16;-0.83431
1983-01-16;0.17325
1983-02-15;-0.44843
1983-03-16;-0.83516
1983-04-16;-2.2394
1983-05-16;-0.68346
1983-06-16;2.0201
1983-07-16;-0.14671
1983-08-16;0.7597
1983-09-16;0.70976
1983-10-16;-0.1527
1983-11-16;-0.35555
1983-12-16;1.1778
1984-01-16;0.46702
1984-02-15;1.5524
1984-03-16;1.5896
1984-04-16;1.6877
1984-05-16;-1.1602
1984-06-16;-0.67083
1984-07-16;0.66907
1984-08-16;-1.4622
1984-09-16;0.50558
1984-10-16;0.27597
1984-11-16;-1.2291
1984-12-16;0.53105
1985-01-16;-0.75538
1985-02-15;-0.37708
1985-03-16;-1.2113
1985-04-16;-0.38705
1985-05-16;0.7044
1985-06-16;-1.2165
1985-07-16;-1.1924
1985-08-16;-0.51853
1985-09-16;-1.2166
1985-10-16;0.39536
1985-11-16;-0.46311
1985-12-16;-0.53572
1986-01-16;1.6213
1986-02-15;-0.16289
1986-03-16;-0.7026
1986-04-16;-0.97661
1986-05-16;-0.74313
1986-06-16;0.48513
1986-07-16;-1.5273
1986-08-16;-0.66881
1986-09-16;-0.1154
1986-10-16;-0.66751
1986-11-16;1.1726
1986-12-16;-0.31155
1987-01-16;-1.0688
1987-02-15;-0.34137
1987-03-16;0.25679
1987-04-16;-0.90187
1987-05-16;1.1604
1987-06-16;-1.4824
1987-07-16;-1.345
1987-08-16;-0.58901
1987-09-16;-0.25443
1987-10-16;-0.044075
1987-11-16;-0.37915
1987-12-16;1.7728
1988-01-16;-1.0688
1988-02-15;-1.4311
1988-03-16;-0.68094
1988-04-16;1.2512
1988-05-16;-0.85017
1988-06-16;0.19588
1988-07-16;0.63164
1988-08-16;0.8336
1988-09-16;1.7325
1988-10-16;-1.5725
1988-11-16;-0.94612
1988-12-16;0.58047
1989-01-16;-1.0688
1989-02-15;-0.41277
1989-03-16;1.2606
1989-04-16;0.24716
1989-05-16;-1.0606
1989-06-16;-0.43937
1989-07-16;0.49063
1989-08-16;-1.0369
1989-09-16;0.64449
1989-10-16;-0.93509
1989-11-16;-1.0902
1989-12-16;-0.43907
1990-01-16;-1.0307
1990-02-15;-0.41277
1990-03-16;-0.61674
1990-04-16;-0.57384
1990-05-16;-0.19669
1990-06-16;-1.291
1990-07-16;-1.3633
1990-08-16;-0.39643
1990-09-16;-1.2237
1990-10-16;-0.37827
1990-11-16;0.17479
1990-12-16;-0.43907
1991-01-16;0.21573
1991-02-15;-0.41277
1991-03-16;-1.4384
1991-04-16;1.2483
1991-05-16;0.26058
1991-06-16;1.7034
1991-07-16;-0.68931
1991-08-16;-0.16933
1991-09-16;-0.22257
1991-10-16;-0.41003
1991-11-16;0.48929
1991-12-16;-0.65835
1992-01-16;0.21573
1992-02-15;-0.41277
1992-03-16;-1.4644
1992-04-16;-1.1979
1992-05-16;0.36518
1992-06-16;0.46293
1992-07-16;-0.48827
1992-08-16;0.1277
1992-09-16;0.53978
1992-10-16;-0.065353
1992-11-16;0.89246
1992-12-16;-0.63739
1993-01-16;-1.0688
1993-02-15;-0.41277
1993-03-16;1.0521
1993-04-16;-0.72996
1993-05-16;-0.77979
1993-06-16;0.74402
1993-07-16;-0.32637
1993-08-16;-0.41666
1993-09-16;-0.51128
1993-10-16;1.0156
1993-11-16;-0.72324
1993-12-16;1.5767
1994-01-16;-1.0307
1994-02-15;-0.41277
1994-03-16;-2.1498
1994-04-16;1.4457
1994-05-16;-0.94136
1994-06-16;-0.056044
